rider_id,nombre,email,plan,alta,ciudad,interes_1,interes_2
R0090,Rider_0090,rider0090@nexo.example,pro,2025-03-23,Buenos Aires,diseno,musica
R0091,Rider_0091,rider0091@nexo.example,pro,2026-01-05,Buenos Aires,fotografia,diseno
R0092,Rider_0092,rider0092@nexo.example,pro,2025-10-25,Buenos Aires,running,diseno
R0093,Rider_0093,rider0093@nexo.example,pro,2026-01-10,Buenos Aires,cafe,running
R0094,Rider_0094,rider0094@nexo.example,free,2025-01-27,Buenos Aires,diseno,running
R0095,Rider_0095,rider0095@nexo.example,plus,2025-03-03,Buenos Aires,gastronomia,musica
R0096,Rider_0096,rider0096@nexo.example,plus,2025-09-13,Buenos Aires,fotografia,musica
R0097,Rider_0097,rider0097@nexo.example,free,2025-04-06,Buenos Aires,musica,futbol
R0098,Rider_0098,rider0098@nexo.example,plus,2025-09-04,Buenos Aires,ciclovia,musica
R0099,Rider_0099,rider0099@nexo.example,plus,2026-02-17,Buenos Aires,cafe,gastronomia
R0100,Rider_0100,rider0100@nexo.example,plus,2025-04-02,Buenos Aires,ciclovia,ciclovia
R0101,Rider_0101,rider0101@nexo.example,plus,2025-01-20,Buenos Aires,musica,fotografia
R0102,Rider_0102,rider0102@nexo.example,free,2026-04-24,Buenos Aires,musica,tecnologia
R0103,Rider_0103,rider0103@nexo.example,free,2025-11-23,Buenos Aires,running,clima
R0104,Rider_0104,rider0104@nexo.example,free,2026-01-31,Buenos Aires,gastronomia,clima
R0105,Rider_0105,rider0105@nexo.example,plus,2026-04-27,Buenos Aires,tecnologia,clima
R0106,Rider_0106,rider0106@nexo.example,free,2025-10-21,Buenos Aires,fotografia,fotografia
R0107,Rider_0107,rider0107@nexo.example,plus,2025-09-22,Buenos Aires,tecnologia,musica
R0108,Rider_0108,rider0108@nexo.example,pro,2026-04-15,Buenos Aires,musica,ciclovia
R0109,Rider_0109,rider0109@nexo.example,plus,2025-02-25,Buenos Aires,diseno,tecnologia
R0110,Rider_0110,rider0110@nexo.example,free,2025-05-09,Buenos Aires,running,futbol
R0111,Rider_0111,rider0111@nexo.example,plus,2026-04-19,Buenos Aires,gastronomia,running
R0112,Rider_0112,rider0112@nexo.example,free,2025-02-23,Buenos Aires,cafe,tecnologia
R0113,Rider_0113,rider0113@nexo.example,pro,2026-02-15,Buenos Aires,tecnologia,ciclovia
R0114,Rider_0114,rider0114@nexo.example,plus,2025-03-31,Buenos Aires,gastronomia,musica
R0115,Rider_0115,rider0115@nexo.example,pro,2025-11-02,Buenos Aires,tecnologia,ciclovia
R0116,Rider_0116,rider0116@nexo.example,pro,2025-11-12,Buenos Aires,clima,gastronomia
R0117,Rider_0117,rider0117@nexo.example,free,2025-12-18,Buenos Aires,musica,running
R0118,Rider_0118,rider0118@nexo.example,pro,2026-03-17,Buenos Aires,fotografia,ciclovia
R0119,Rider_0119,rider0119@nexo.example,free,2026-04-12,Buenos Aires,ciclovia,tecnologia
